Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches
Aaron Ramsdale,ENG,Newcastle Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,27,464,18.0,9.0,11.0,7.3,-1.7,0,15.0,53.0,152.0,31.0,4516.2,28.0,1491.9,91.0,5.0,7.0,127.9,1
Aarón Escandell,ESP,Oviedo,Spanish La Liga,GK,Goalkeeper,30,1440,105.0,26.0,78.0,31.6,5.6,4,86.0,222.0,496.0,53.0,16442.6,97.0,3606.6,252.0,7.0,31.0,547.9,1
Adrian Šemper,CRO,Pisa,Italian Serie A,GK,Goalkeeper,27,1170,61.0,17.0,44.0,15.8,-1.2,4,99.0,234.0,363.0,41.0,14081.0,76.0,3914.2,202.0,11.0,2.0,33.4,1
Alban Lafont,FRA,Panathinaikos,UEFA Europa League,GK,Goalkeeper,26,360,11.0,3.0,8.0,3.7,0.7,2,14.0,49.0,109.0,15.0,3846.4,16.0,918.9,51.0,2.0,2.0,27.6,1
Alberto Paleari,ITA,Torino,Italian Serie A,GK,Goalkeeper,33,540,23.0,8.0,15.0,9.3,1.3,3,49.0,117.0,166.0,24.0,6532.6,44.0,2395.7,99.0,3.0,11.0,208.0,1
Alex Meret,ITA,Napoli,Italian Serie A,GK,Goalkeeper,28,360,12.0,4.0,8.0,3.7,-0.3,2,5.0,14.0,85.0,12.0,2191.4,24.0,569.3,20.0,1.0,6.0,124.9,1
Alexander Nübel,GER,Stuttgart,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,29,1800,83.0,27.0,57.0,24.7,-2.3,7,107.0,249.0,719.0,91.0,22980.6,69.0,2803.5,231.0,16.0,34.0,636.9,1
Alexander Schlager,AUT,RB Salzburg,UEFA Europa League,GK,Goalkeeper,29,450,33.0,11.0,20.0,12.1,1.1,0,42.0,94.0,184.0,22.0,6674.7,30.0,1642.6,87.0,1.0,1.0,12.5,1
Alexandros Paschalakis,GRE,Olympiacos,UEFA Champions League,GK,Goalkeeper,36,90,1.0,0.0,1.0,0.1,0.1,1,2.0,3.0,14.0,1.0,379.4,8.0,246.4,1.0,0.0,4.0,84.8,1
Alisson,BRA,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,33,1225,44.0,17.0,27.0,15.6,-1.4,5,42.0,119.0,481.0,62.0,14135.1,32.0,888.9,177.0,13.0,18.0,323.2,1
Alphonse Areola,FRA,West Ham,English Premier League,GK,Goalkeeper,32,1080,62.0,21.0,42.0,18.5,-2.5,0,73.0,241.0,273.0,56.0,11012.0,114.0,6514.1,222.0,9.0,1.0,31.0,1
Altay Bayındır,TUR,Manchester Utd,English Premier League,GK,Goalkeeper,27,540,23.0,11.0,12.0,9.2,-1.8,0,29.0,94.0,173.0,17.0,6473.6,18.0,876.0,62.0,4.0,7.0,131.7,1
Anatolii Trubin,UKR,Benfica,UEFA Champions League,GK,Goalkeeper,24,540,26.0,8.0,19.0,9.0,1.0,2,16.0,70.0,147.0,20.0,4960.9,25.0,928.4,82.0,7.0,2.0,40.3,1
Andriy Lunin,UKR,Real Madrid,UEFA Champions League,GK,Goalkeeper,26,90,8.0,3.0,5.0,2.6,-0.4,0,0.0,9.0,44.0,8.0,1086.8,6.0,243.0,17.0,0.0,1.0,19.0,1
Anthony Lopes,POR,Nantes,French Ligue 1,GK,Goalkeeper,35,1348,82.0,26.0,57.0,25.0,-1.0,2,69.0,181.0,515.0,70.0,16779.9,59.0,2079.5,260.0,13.0,18.0,362.0,1
Anton Ari Einarsson,ISL,Breiðablik,UEFA Europa Conference League,GK,Goalkeeper,31,450,22.0,8.0,14.0,4.4,-3.6,1,18.0,37.0,170.0,30.0,5001.9,11.0,394.1,77.0,2.0,3.0,51.9,1
Antonio Sivera,ESP,Alavés,Spanish La Liga,GK,Goalkeeper,29,1440,54.0,17.0,37.0,16.9,-0.1,3,117.0,285.0,314.0,47.0,13614.0,124.0,7315.5,205.0,7.0,8.0,158.6,1
Antonis Tsiftsis,GRE,PAOK,UEFA Europa League,GK,Goalkeeper,26,180,12.0,3.0,9.0,3.7,0.7,1,5.0,22.0,39.0,8.0,1443.0,12.0,611.2,32.0,1.0,1.0,21.7,1
Arijanet Muric,KVX,Sassuolo,Italian Serie A,GK,Goalkeeper,27,1260,66.0,17.0,50.0,17.8,0.8,4,77.0,225.0,412.0,71.0,14388.1,84.0,4509.5,218.0,34.0,8.0,110.2,1
Arnau Tenas,ESP,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,360,16.0,8.0,8.0,4.8,-3.2,0,14.0,69.0,94.0,7.0,3470.4,34.0,2002.7,66.0,3.0,5.0,78.4,1
Arnaud Bodart,BEL,Lille,French Ligue 1,GK,Goalkeeper,27,180,6.0,3.0,3.0,4.1,1.1,0,10.0,22.0,70.0,9.0,2137.8,7.0,234.0,12.0,1.0,4.0,87.0,1
Augusto Batalla,ARG,Rayo Vallecano,"Spanish La Liga, UEFA Europa Conference League",GK,Goalkeeper,29,1800,69.0,23.0,46.0,22.7,-0.3,6,118.0,307.0,644.0,71.0,24595.0,76.0,3488.7,253.0,15.0,25.0,491.5,1
Baboucarr Gaye,GAM,Shkëndija 79,UEFA Europa Conference League,GK,Goalkeeper,27,540,18.0,4.0,14.0,4.0,0.0,3,27.0,78.0,141.0,21.0,4896.5,43.0,1760.2,88.0,2.0,1.0,14.6,1
Bart Verbruggen,NED,Brighton,English Premier League,GK,Goalkeeper,23,1440,63.0,23.0,41.0,22.9,-0.1,3,41.0,167.0,635.0,70.0,18402.8,50.0,2185.4,201.0,10.0,17.0,290.4,1
Bartosz Mrozek,POL,Lech Poznań,UEFA Europa Conference League,GK,Goalkeeper,25,450,21.0,7.0,14.0,5.4,-1.6,1,13.0,35.0,123.0,25.0,3121.6,31.0,1202.0,92.0,0.0,6.0,119.2,1
Bartłomiej Drągowski,POL,Panathinaikos,UEFA Europa League,GK,Goalkeeper,28,180,10.0,4.0,6.0,4.0,0.0,0,11.0,34.0,65.0,11.0,2645.5,8.0,446.9,22.0,1.0,0.0,0.0,1
Berke Özer,TUR,Lille,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,25,1800,75.0,24.0,48.0,31.4,7.4,7,75.0,213.0,692.0,58.0,20289.7,73.0,2830.0,255.0,7.0,24.0,414.4,1
Bernd Leno,GER,Fulham,English Premier League,GK,Goalkeeper,33,1440,68.0,26.0,44.0,22.1,-3.9,3,49.0,185.0,535.0,75.0,16026.2,88.0,4003.9,210.0,11.0,10.0,170.7,1
Bingourou Kamara,SEN,Lorient,French Ligue 1,GK,Goalkeeper,28,270,15.0,8.0,7.0,4.8,-3.2,1,12.0,22.0,65.0,7.0,1948.9,9.0,279.3,27.0,2.0,5.0,111.0,1
