Player,Team,League,Position,General Position,Nationality,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Aaron Ramsdale,Newcastle Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,ENG,27,464,18.0,9.0,11.0,7.3,-1.7,0,15.0,53.0,152.0,31.0,4516.2,28.0,1491.9,91.0,5.0,7.0,127.9
Aarón Escandell,Oviedo,Spanish La Liga,GK,Goalkeeper,ESP,30,1440,105.0,26.0,78.0,31.6,5.6,4,86.0,222.0,496.0,53.0,16442.6,97.0,3606.6,252.0,7.0,31.0,547.9
Adrian Šemper,Pisa,Italian Serie A,GK,Goalkeeper,CRO,27,1170,61.0,17.0,44.0,15.8,-1.2,4,99.0,234.0,363.0,41.0,14081.0,76.0,3914.2,202.0,11.0,2.0,33.4
Alban Lafont,Panathinaikos,UEFA Europa League,GK,Goalkeeper,FRA,26,360,11.0,3.0,8.0,3.7,0.7,2,14.0,49.0,109.0,15.0,3846.4,16.0,918.9,51.0,2.0,2.0,27.6
Alberto Paleari,Torino,Italian Serie A,GK,Goalkeeper,ITA,33,540,23.0,8.0,15.0,9.3,1.3,3,49.0,117.0,166.0,24.0,6532.6,44.0,2395.7,99.0,3.0,11.0,208.0
Alex Meret,Napoli,Italian Serie A,GK,Goalkeeper,ITA,28,360,12.0,4.0,8.0,3.7,-0.3,2,5.0,14.0,85.0,12.0,2191.4,24.0,569.3,20.0,1.0,6.0,124.9
Alexander Nübel,Stuttgart,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,GER,29,1800,83.0,27.0,57.0,24.7,-2.3,7,107.0,249.0,719.0,91.0,22980.6,69.0,2803.5,231.0,16.0,34.0,636.9
Alexander Schlager,RB Salzburg,UEFA Europa League,GK,Goalkeeper,AUT,29,450,33.0,11.0,20.0,12.1,1.1,0,42.0,94.0,184.0,22.0,6674.7,30.0,1642.6,87.0,1.0,1.0,12.5
Alexandros Paschalakis,Olympiacos,UEFA Champions League,GK,Goalkeeper,GRE,36,90,1.0,0.0,1.0,0.1,0.1,1,2.0,3.0,14.0,1.0,379.4,8.0,246.4,1.0,0.0,4.0,84.8
Alisson,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,BRA,33,1225,44.0,17.0,27.0,15.6,-1.4,5,42.0,119.0,481.0,62.0,14135.1,32.0,888.9,177.0,13.0,18.0,323.2
Alphonse Areola,West Ham,English Premier League,GK,Goalkeeper,FRA,32,1080,62.0,21.0,42.0,18.5,-2.5,0,73.0,241.0,273.0,56.0,11012.0,114.0,6514.1,222.0,9.0,1.0,31.0
Altay Bayındır,Manchester Utd,English Premier League,GK,Goalkeeper,TUR,27,540,23.0,11.0,12.0,9.2,-1.8,0,29.0,94.0,173.0,17.0,6473.6,18.0,876.0,62.0,4.0,7.0,131.7
Anatolii Trubin,Benfica,UEFA Champions League,GK,Goalkeeper,UKR,24,540,26.0,8.0,19.0,9.0,1.0,2,16.0,70.0,147.0,20.0,4960.9,25.0,928.4,82.0,7.0,2.0,40.3
Andriy Lunin,Real Madrid,UEFA Champions League,GK,Goalkeeper,UKR,26,90,8.0,3.0,5.0,2.6,-0.4,0,0.0,9.0,44.0,8.0,1086.8,6.0,243.0,17.0,0.0,1.0,19.0
Anthony Lopes,Nantes,French Ligue 1,GK,Goalkeeper,POR,35,1348,82.0,26.0,57.0,25.0,-1.0,2,69.0,181.0,515.0,70.0,16779.9,59.0,2079.5,260.0,13.0,18.0,362.0
Anton Ari Einarsson,Breiðablik,UEFA Europa Conference League,GK,Goalkeeper,ISL,31,450,22.0,8.0,14.0,4.4,-3.6,1,18.0,37.0,170.0,30.0,5001.9,11.0,394.1,77.0,2.0,3.0,51.9
Antonio Sivera,Alavés,Spanish La Liga,GK,Goalkeeper,ESP,29,1440,54.0,17.0,37.0,16.9,-0.1,3,117.0,285.0,314.0,47.0,13614.0,124.0,7315.5,205.0,7.0,8.0,158.6
Antonis Tsiftsis,PAOK,UEFA Europa League,GK,Goalkeeper,GRE,26,180,12.0,3.0,9.0,3.7,0.7,1,5.0,22.0,39.0,8.0,1443.0,12.0,611.2,32.0,1.0,1.0,21.7
Arijanet Muric,Sassuolo,Italian Serie A,GK,Goalkeeper,KVX,27,1260,66.0,17.0,50.0,17.8,0.8,4,77.0,225.0,412.0,71.0,14388.1,84.0,4509.5,218.0,34.0,8.0,110.2
Arnau Tenas,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,ESP,24,360,16.0,8.0,8.0,4.8,-3.2,0,14.0,69.0,94.0,7.0,3470.4,34.0,2002.7,66.0,3.0,5.0,78.4
Arnaud Bodart,Lille,French Ligue 1,GK,Goalkeeper,BEL,27,180,6.0,3.0,3.0,4.1,1.1,0,10.0,22.0,70.0,9.0,2137.8,7.0,234.0,12.0,1.0,4.0,87.0
Augusto Batalla,Rayo Vallecano,"Spanish La Liga, UEFA Europa Conference League",GK,Goalkeeper,ARG,29,1800,69.0,23.0,46.0,22.7,-0.3,6,118.0,307.0,644.0,71.0,24595.0,76.0,3488.7,253.0,15.0,25.0,491.5
Baboucarr Gaye,Shkëndija 79,UEFA Europa Conference League,GK,Goalkeeper,GAM,27,540,18.0,4.0,14.0,4.0,0.0,3,27.0,78.0,141.0,21.0,4896.5,43.0,1760.2,88.0,2.0,1.0,14.6
Bart Verbruggen,Brighton,English Premier League,GK,Goalkeeper,NED,23,1440,63.0,23.0,41.0,22.9,-0.1,3,41.0,167.0,635.0,70.0,18402.8,50.0,2185.4,201.0,10.0,17.0,290.4
Bartosz Mrozek,Lech Poznań,UEFA Europa Conference League,GK,Goalkeeper,POL,25,450,21.0,7.0,14.0,5.4,-1.6,1,13.0,35.0,123.0,25.0,3121.6,31.0,1202.0,92.0,0.0,6.0,119.2
Bartłomiej Drągowski,Panathinaikos,UEFA Europa League,GK,Goalkeeper,POL,28,180,10.0,4.0,6.0,4.0,0.0,0,11.0,34.0,65.0,11.0,2645.5,8.0,446.9,22.0,1.0,0.0,0.0
Berke Özer,Lille,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,TUR,25,1800,75.0,24.0,48.0,31.4,7.4,7,75.0,213.0,692.0,58.0,20289.7,73.0,2830.0,255.0,7.0,24.0,414.4
Bernd Leno,Fulham,English Premier League,GK,Goalkeeper,GER,33,1440,68.0,26.0,44.0,22.1,-3.9,3,49.0,185.0,535.0,75.0,16026.2,88.0,4003.9,210.0,11.0,10.0,170.7
Bingourou Kamara,Lorient,French Ligue 1,GK,Goalkeeper,SEN,28,270,15.0,8.0,7.0,4.8,-3.2,1,12.0,22.0,65.0,7.0,1948.9,9.0,279.3,27.0,2.0,5.0,111.0
Brice Samba,Rennes,French Ligue 1,GK,Goalkeeper,FRA,31,1440,70.0,24.0,45.0,23.5,-0.5,4,59.0,193.0,575.0,66.0,18177.6,92.0,2907.7,236.0,11.0,22.0,478.0
Caoimhín Kelleher,Brentford,English Premier League,GK,Goalkeeper,IRL,27,1440,63.0,25.0,39.0,20.4,-4.6,2,96.0,251.0,518.0,78.0,17413.1,79.0,4514.7,229.0,13.0,22.0,383.3
Christian Zawieschitzky,RB Salzburg,UEFA Europa League,GK,Goalkeeper,AUT,18,90,2.0,0.0,2.0,0.2,0.2,1,3.0,11.0,32.0,2.0,979.2,3.0,41.1,19.0,0.0,0.0,0.0
Dani van den Heuvel,Club Brugge,UEFA Champions League,GK,Goalkeeper,NED,22,90,10.0,3.0,7.0,3.5,0.5,0,6.0,10.0,31.0,5.0,985.8,5.0,197.0,19.0,1.0,0.0,0.0
Daniel Batz,Mainz 05,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,GER,34,270,22.0,4.0,19.0,7.9,3.9,0,26.0,66.0,101.0,9.0,4020.5,14.0,806.9,49.0,3.0,3.0,46.4
Daniel Heuer Fernandes,Hamburger SV,German Bundesliga,GK,Goalkeeper,POR,33,1260,69.0,24.0,44.0,22.2,-1.8,3,72.0,213.0,663.0,36.0,19596.6,67.0,2685.9,196.0,8.0,15.0,243.3
David Raya,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,ESP,30,1980,52.0,11.0,41.0,10.9,-0.1,13,112.0,329.0,710.0,103.0,24712.7,80.0,4104.9,204.0,18.0,36.0,840.5
David Soria,Getafe,Spanish La Liga,GK,Goalkeeper,ESP,32,1440,68.0,18.0,52.0,17.1,-0.9,4,149.0,402.0,375.0,17.0,19197.7,102.0,6195.9,176.0,4.0,22.0,497.5
David de Gea,Fiorentina,"Italian Serie A, UEFA Europa Conference League",GK,Goalkeeper,ESP,35,1710,87.0,28.0,58.0,25.7,-2.3,4,86.0,253.0,532.0,66.0,18415.7,90.0,3835.1,251.0,5.0,16.0,305.9
Dean Henderson,Crystal Palace,"English Premier League, UEFA Europa Conference League",GK,Goalkeeper,ENG,28,1800,67.0,19.0,48.0,22.1,3.1,8,95.0,343.0,531.0,79.0,20754.7,137.0,6807.8,276.0,11.0,9.0,187.6
Diant Ramaj,Heidenheim,German Bundesliga,GK,Goalkeeper,GER,24,1260,71.0,30.0,41.0,28.0,-2.0,0,122.0,316.0,649.0,65.0,24950.4,98.0,5015.7,214.0,20.0,21.0,314.3
Dimitar Mitov,Aberdeen,UEFA Europa Conference League,GK,Goalkeeper,BUL,28,450,24.0,11.0,12.0,9.7,-1.3,1,21.0,81.0,130.0,20.0,4885.3,23.0,1318.6,72.0,4.0,3.0,44.8
Diogo Costa,Porto,UEFA Europa League,GK,Goalkeeper,POR,26,540,13.0,5.0,9.0,3.1,-1.9,2,21.0,51.0,204.0,32.0,5379.3,25.0,791.5,50.0,2.0,10.0,175.9
Dmytro Riznyk,Shakhtar,UEFA Europa Conference League,GK,Goalkeeper,UKR,26,180,5.0,2.0,3.0,2.0,0.0,1,3.0,13.0,55.0,4.0,1540.6,6.0,124.2,19.0,3.0,5.0,105.0
Dominik Greif,Lyon,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,SVK,28,1440,58.0,15.0,41.0,17.4,2.4,9,50.0,137.0,564.0,55.0,15046.9,49.0,1969.3,179.0,13.0,30.0,542.6
Dominik Kotarski,FC Copenhagen,UEFA Champions League,GK,Goalkeeper,CRO,25,540,30.0,16.0,15.0,11.4,-4.6,0,33.0,86.0,150.0,18.0,5476.4,36.0,1777.3,67.0,0.0,10.0,175.1
Dominik Takáč,Slovan Bratislava,UEFA Europa Conference League,GK,Goalkeeper,SVK,26,450,31.0,9.0,23.0,8.5,-0.5,0,19.0,61.0,132.0,19.0,4383.3,34.0,1154.9,68.0,2.0,8.0,150.8
Donovan Léon,Auxerre,French Ligue 1,GK,Goalkeeper,GUF,33,1214,63.0,21.0,43.0,19.0,-2.0,3,74.0,233.0,353.0,53.0,14512.4,73.0,4256.5,152.0,6.0,14.0,266.7
Dávid Gróf,Ferencváros,UEFA Europa League,GK,Goalkeeper,HUN,36,90,2.0,1.0,1.0,1.4,0.4,0,5.0,9.0,25.0,2.0,802.5,1.0,66.0,9.0,0.0,0.0,0.0
Dénes Dibusz,Ferencváros,UEFA Europa League,GK,Goalkeeper,HUN,35,450,18.0,5.0,13.0,3.6,-1.4,1,38.0,84.0,124.0,17.0,4569.7,34.0,1739.1,90.0,3.0,3.0,43.6
Ed McGinty,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,GK,Goalkeeper,IRL,26,450,30.0,12.0,18.0,12.4,0.4,0,23.0,80.0,85.0,13.0,3680.5,45.0,2312.8,74.0,1.0,1.0,17.0
Ederson,Fenerbahçe,UEFA Europa League,GK,Goalkeeper,BRA,32,540,17.0,5.0,12.0,5.0,0.0,3,36.0,94.0,206.0,22.0,7284.3,38.0,1660.1,80.0,7.0,10.0,234.1
Edoardo Corvi,Parma,Italian Serie A,GK,Goalkeeper,ITA,24,360,13.0,4.0,9.0,4.9,0.9,1,16.0,44.0,123.0,19.0,3964.2,16.0,649.2,86.0,4.0,10.0,174.6
Elia Caprile,Cagliari,Italian Serie A,GK,Goalkeeper,ITA,24,1350,75.0,21.0,54.0,24.0,3.0,3,74.0,214.0,407.0,72.0,14818.3,91.0,3592.0,202.0,26.0,17.0,344.5
Elías Rafn Ólafsson,Midtjylland,UEFA Europa League,GK,Goalkeeper,ISL,25,540,29.0,5.0,24.0,6.3,1.3,3,32.0,87.0,214.0,48.0,7057.7,35.0,1495.8,87.0,7.0,8.0,143.0
Emil Audero,Cremonese,Italian Serie A,GK,Goalkeeper,IDN,28,990,55.0,11.0,44.0,12.9,1.9,4,59.0,235.0,433.0,55.0,15952.7,63.0,3232.4,190.0,16.0,7.0,107.1
Emiliano Martínez,Aston Villa,"English Premier League, UEFA Europa League",GK,Goalkeeper,ARG,33,1350,49.0,12.0,36.0,13.3,1.3,5,63.0,176.0,550.0,60.0,16530.6,51.0,2440.0,186.0,15.0,14.0,250.6
