Game Week,Player,Team,League,Nationality,Age,Minutes,Shots on Target Against,Goals Against,Saves,Save Percentage,Post-Shot Expected Goals (PSxG),Passes Completed (Launched),Passes Attempted (Launched),Pass Completion % (Launched),Passes Attempted (GK),Throws Attempted,Launch % (Passes),Average Pass Length,Goal Kicks Attempted,Launch % (Goal Kicks),Average Goal Kick Length,Crosses Faced,Crosses Stopped,Cross Stop %,Def. Actions Outside Penalty Area,Average Distance of Def. Actions
J1,Pierluigi Gollini,Genoa,Italian Serie A,it ITA,29-152,90,7.0,2.0,5.0,71.4,2.9,6.0,19.0,31.6,26.0,3.0,50.0,40.0,7.0,85.7,60.4,17.0,1.0,5.9,0.0,4.0
J1,Yann Sommer,Inter,Italian Serie A,ch SUI,35-244,90,7.0,2.0,4.0,71.4,2.1,0.0,1.0,0.0,26.0,4.0,0.0,20.1,4.0,25.0,30.0,11.0,0.0,0.0,1.0,21.5
J1,Michele Di Gregorio,Juventus,Italian Serie A,it ITA,27-023,90,0.0,0.0,0.0,,0.0,4.0,6.0,66.7,21.0,4.0,14.3,24.7,7.0,42.9,37.3,10.0,1.0,10.0,0.0,4.0
J1,Pepe Reina,Como,Italian Serie A,es ESP,41-354,90,6.0,3.0,3.0,50.0,2.3,2.0,9.0,22.2,26.0,3.0,34.6,31.3,2.0,0.0,17.5,9.0,0.0,0.0,2.0,16.0
J11,Federico Ravaglia,Bologna,Italian Serie A,it ITA,24-357,90,0.0,0.0,0.0,,0.0,1.0,1.0,100.0,19.0,4.0,5.3,21.2,3.0,0.0,17.3,4.0,1.0,25.0,0.0,9.5
J11,Wladimiro Falcone,Lecce,Italian Serie A,it ITA,29-204,90,4.0,1.0,3.0,75.0,1.1,16.0,37.0,43.2,21.0,1.0,76.2,50.0,21.0,100.0,62.3,28.0,0.0,0.0,2.0,17.3
J1,Mark Flekken,Brentford,English Premier League,nl NED,31-066,90,6.0,1.0,6.0,83.3,1.0,9.0,18.0,50.0,47.0,5.0,29.8,34.3,8.0,50.0,44.0,11.0,1.0,9.1,2.0,14.9
J1,Dean Henderson,Crystal Palace,English Premier League,eng ENG,27-159,90,5.0,2.0,3.0,60.0,2.4,2.0,11.0,18.2,15.0,3.0,53.3,37.0,10.0,30.0,25.5,14.0,0.0,0.0,2.0,26.0
J1,Robert Sánchez,Chelsea,English Premier League,es ESP,26-274,90,5.0,2.0,3.0,60.0,0.8,1.0,5.0,20.0,23.0,4.0,21.7,29.3,6.0,0.0,14.3,6.0,1.0,16.7,0.0,9.8
J1,Ederson,Manchester City,English Premier League,br BRA,31-001,90,3.0,0.0,3.0,100.0,0.7,4.0,9.0,44.4,37.0,5.0,21.6,29.5,2.0,50.0,47.0,12.0,1.0,8.3,0.0,11.0
