Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
0,0,0,0,0,0,0,0,0,75,75,75,75
AJ Marcucci,USA,Goalkeeper,NY Red Bulls,26,1999,2,2,180,49,45,44,39
Aaron Bouwman,NED,Defender,Ajax,18,2007,1,1,90,35,21,32,46
Aaron Cresswell,ENG,Defender,Stoke City,35,1989,11,10,943,45,86,63,34
Aaron Herrera,GUA,Midfielder,D.C. United,28,1997,26,24,2066,44,75,67,52
Aaron Long,USA,Defender,LAFC,33,1992,15,15,1271,64,47,30,50
Aaron Meijers,NED,Forward,Volendam,37,1987,2,0,22,25,17,46,16
Aaron Mejía Montoya,MEX,Midfielder,Tijuana,24,2001,5,2,217,35,20,54,50
Aaron Nicolás Molinas,ARG,Forward,Defensa y Just,25,2000,24,22,1675,47,77,69,55
Aaron Quirós,ARG,Defender,Vélez Sarsfield,23,4002,21,16,1558,35,27,35,52
Aaron Ramsey,ENG,Midfielder,Leicester City,22,2003,5,3,221,83,35,49,35
Aaron Ramsey,WAL,Forward,UNAM,34,1990,6,3,235,64,64,51,52
Abdelkahar Kadri,ALG,Midfielder,Gent,25,2000,7,6,550,72,72,72,59
Abdoul Karim Traoré,GUI,Forward,OH Leuven,18,2007,10,6,528,36,26,45,62
Abdoulaye Kanté,FRA,Midfielder,Middlesbrough,20,2005,4,1,85,33,20,40,82
Abdoulaye Sissako,FRA,Midfielder,Sint-Truiden,27,1998,12,12,970,41,45,56,64
Abdoulaye Traoré,CIV,Forward,Zulte Waregem,22,2003,3,2,147,47,56,87,56
Abdoulie Ndow,GAM,Midfielder,Frosinone,17,2008,1,0,1,33,13,9,13
Abdu Conté,POR,Midfielder,Casa Pia,27,1998,2,1,41,33,61,48,15
Abdul Fatawu Issahaku,GHA,Forward,Leicester City,21,2004,12,12,1033,66,77,85,51
Abel Paredes,PAR,Defender,Olimpia,28,1997,2,0,23,50,35,52,10
Abiel Osorio,ARG,Forward,Defensa y Just,23,2002,26,22,1897,60,37,42,51
Abner,BRA,Defender,Juventude,21,2004,18,13,1281,36,38,31,49
Abraham Marcus,NGA,Forward,Estrela,25,2000,8,7,624,31,75,40,59
Abu Kamara,ENG,Forward,Hull City,22,2003,2,1,103,36,21,26,46
Abu Kamara,ITA,Goalkeeper,Padova,28,1997,9,9,810,49,44,44,49
Adalberto Carrasquilla,PAN,Forward,UNAM,26,1998,15,12,1083,33,76,54,58
Adalberto Peñaranda,VEN,Forward,CA Bucaramanga,28,1997,4,1,129,39,25,79,67
Adam Armstrong,ENG,Forward,Southampton,28,1997,12,9,771,77,49,62,49
Adam Bareiro,PAR,Forward,Fortaleza,29,3992,15,2,350,67,36,33,65
Adam Beaudry,USA,Goalkeeper,Colorado Rapids,19,2006,1,1,90,49,44,44,37
Adam Carlén,SWE,Midfielder,Excelsior,25,2000,10,10,865,39,38,23,63
Adam Idah,IRL,Forward,Swansea City,24,2001,8,1,230,55,41,17,48
Adam Randell,ENG,Midfielder,Bristol City,25,2000,12,12,993,36,58,33,58
Adam Saldaña,USA,Midfielder,LAFC,23,2002,2,2,180,35,25,37,61
Adem Zorgane,ALG,Midfielder,Union SG,25,2000,12,10,885,69,87,48,54
Ademir Santos,BRA,Forward,Bahia,30,3990,28,19,1541,53,73,86,60
Aderlan Santos,BRA,Defender,AVS Futebol,36,1989,5,5,369,48,38,38,59
Aderlan Silva,BRA,Defender,Santos,35,3980,11,8,687,39,74,67,46
Adil Lechkar,NED,Midfielder,Telstar,24,2001,5,0,64,52,24,95,44
Adilson Malanda,FRA,Defender,Charlotte,23,2001,33,33,2899,59,37,36,46
Adnane Abid,BEL,Forward,Standard Liège,22,2003,8,7,515,54,70,78,52
Adonis Frías,ARG,Defender,León,27,3996,10,8,761,48,42,44,58
Adonis Preciado,ECU,Forward,Tijuana,28,1997,15,9,865,51,43,10,57
Adrian Blake,ENG,Forward,Utrecht,20,2005,10,8,660,58,61,74,42
Adrian Raychev,BUL,Forward,Frosinone,19,2006,1,0,9,43,11,35,16
Adrian Segecic,AUS,Forward,Portsmouth,21,2004,11,7,629,70,61,43,52
Adrian Wibowo,IDN,Forward,LAFC,19,2006,2,0,18,25,25,8,16
Adriano,BRA,Midfielder,Santa Clara,25,1999,9,8,741,40,49,43,28
Adriano Bertaccini,BEL,Forward,Anderlecht,25,4000,6,1,253,81,56,46,57
Adriano Martins,BRA,Defender,Juventude,28,1997,5,5,360,35,18,13,54
Adriel Fernández,BOL,Forward,San Antonio Bulo Bulo,29,1996,1,0,3,25,25,26,16
Adrián Alcaraz,PAR,Forward,Libertad,26,1999,6,1,218,66,43,64,56
Adrián Balboa,URU,Forward,Racing Club,31,3988,32,12,1233,69,29,28,63
Adrián Fernández,ARG,Forward,Racing Club,24,4002,13,4,399,33,84,75,69
Adrián Guillermo Sánchez,ARG,Midfielder,Atlé Tucumán,26,1999,29,29,2485,62,62,53,66
Adrián Martínez,ARG,Forward,Racing Club,33,3984,32,30,2599,77,40,31,48
Adrián Marín,ESP,Defender,Orlando City,28,1997,5,4,327,39,71,60,57
Adrián Mora,MEX,Defender,Atlas,28,1997,12,12,1058,78,23,65,31
Adrián Palacios,VEN,Forward,Genk,21,2004,2,0,3,25,16,52,16
Adrián Sporle,ARG,Defender,Independiente,30,3990,16,15,1245,73,80,82,50
Adson,BRA,Forward,Vasco da Gama,25,2000,10,0,210,41,71,67,57
Afonso Assis,POR,Forward,Moreirense,19,2006,4,1,120,27,39,12,42
Afonso Rodrigues,POR,Forward,Tondela,23,2002,2,0,52,28,36,70,28
Agustin Bravo,ARG,Forward,Rosario Central,24,2001,3,2,198,25,12,6,33
Agustin Hausch,ARG,Midfielder,Defensa y Just,22,2003,9,4,379,39,55,88,69
Agustin Ojeda,ARG,Forward,NYCFC,21,2004,34,12,1344,35,76,82,66
Agustín Alaniz,URU,Forward,Banfield,23,2002,21,11,1091,53,58,64,58
Agustín Almendra,ARG,Midfielder,Racing Club,25,4000,30,28,1926,65,61,43,58
Agustín Auzmendi,ARG,Forward,Godoy Cruz,28,1997,20,14,1167,66,26,22,41
Agustín Baldi,ARG,Defender,Belgrano,23,2002,1,0,45,35,28,13,30
Agustín Bouzat,ARG,Midfielder,Vélez Sarsfield,31,3988,33,31,2700,45,65,69,66
Agustín Canobbio,URU,Forward,Fluminense,27,1998,22,19,1434,52,52,66,62
Agustín Cardozo,ARG,Midfielder,Lanús,28,1997,27,24,2166,41,38,30,61
Agustín Colazo,ARG,Forward,Unión,24,2000,17,6,641,64,40,32,40
Agustín De la Cuesta,ARG,Midfielder,River Plate,19,2006,1,1,61,33,33,43,62
Agustín Dáttola,ARG,Defender,Belgrano,26,1999,4,4,360,35,26,22,43
Agustín García Basso,ARG,Defender,Racing Club,33,3984,18,17,1521,38,64,56,40
Agustín Giay,ARG,Defender,Palmeiras,21,4008,29,23,2157,42,54,67,59
Agustín Ladstatter,ARG,Forward,San Lorenzo,20,2005,15,1,337,36,68,72,56
Agustín Lagos,ARG,Defender,Vélez Sarsfield,24,4002,18,14,1114,48,81,87,80
Agustín Marchesín,ARG,Goalkeeper,Boca Juniors,37,1988,25,25,2249,49,47,57,42
Agustín Martegani,ARG,Midfielder,Boca Juniors,25,2000,1,1,57,48,18,49,25
Agustín Medina,0,Midfielder,Lanús,0,0,22,12,1220,44,40,42,75
Agustín Molina,ARG,Forward,Sarmiento,19,2006,2,0,33,25,11,22,32
Agustín Moreira,URU,Forward,Gil Vicente FC,24,2001,6,3,268,34,67,65,74
Agustín Módica,ARG,Forward,Rosario Central,22,2003,3,0,13,25,11,45,21
Agustín Obando,ARG,Forward,Banfield,25,2000,4,1,90,29,59,23,32
Agustín Oliveros,URU,Defender,Necaxa,27,1998,4,4,360,38,65,22,21
Agustín Palavecino,ARG,Forward,Aldosivi,22,2003,20,12,973,48,44,55,72
Agustín Palavecino,ARG,Forward,Necaxa,28,1996,13,13,1133,60,88,68,58
Agustín Rodríguez,ARG,Forward,Lanús,21,2004,2,1,77,25,30,43,51
Agustín Rogel,URU,Defender,Internacional,28,3994,7,6,534,35,19,18,50
Agustín Rossi,ARG,Goalkeeper,Flamengo,30,3990,40,40,3630,49,49,56,44
Agustín Sant'Anna,URU,Defender,RB Bragantino,28,1997,9,4,366,51,71,57,72
Agustín Seyral,ARG,Forward,Sarmiento,20,2005,2,0,49,25,11,6,31
Agustín Sienra,ARG,Defender,Defensa y Just,26,1999,1,1,90,35,18,31,70
Agustín Sández,PAR,Defender,Rosario Central,24,2001,28,28,2395,71,62,70,59
Agustín Urzi,ARG,Forward,Huracán,25,2000,22,7,831,46,57,62,62
Agustín Álvarez,URU,Forward,Monza,24,2001,6,4,355,76,34,35,31
Ahmad Benali,LBY,Midfielder,Virtus Entella,33,1992,3,3,236,37,77,40,36
Ahmed Qasem,SWE,Forward,Nashville SC,22,2003,28,12,1223,54,58,69,57
Ahmed Sidibé,FRA,Defender,Venezia,23,2002,1,0,27,35,16,11,71
Ahmetcan Kaplan,TUR,Defender,NEC Nijmegen,22,2003,6,6,540,75,44,61,63
Aidan Morris,USA,Midfielder,Middlesbrough,23,2001,12,10,894,45,78,69,59
Aiden Harangi,USA,Defender,San Diego FC,19,2006,5,5,335,38,63,80,22
Aiden Hezarkhani,USA,Forward,Real Salt Lake,18,2007,2,0,58,28,18,63,25
Aiden O'Neill,AUS,Midfielder,NYCFC,27,1998,20,17,1506,39,42,52,51
Aidomo Emakhu,IRL,Forward,Millwall,22,2003,10,5,447,36,70,77,50
Aiham Ousou,SYR,Defender,Charleroi,25,2000,12,12,963,71,44,47,45
Aimé Omgba,NED,Forward,Gent,23,2002,4,0,89,43,72,30,50
Aitor Cantalapiedra,ESP,Forward,Vitória,29,1996,11,10,746,63,73,40,49
Ajani Fortune,TRI,Midfielder,Atlanta Utd,22,2002,15,8,784,71,70,78,70
Ajdin Hrustic,AUS,Midfielder,Heracles Almelo,29,1996,9,7,636,44,68,53,44
Akil Watts,USA,Midfielder,St. Louis,25,2000,22,14,1418,67,48,61,59
Akin Famewo,ENG,Defender,Hull City,26,1998,3,0,40,35,16,11,84
Alama Bayo,GUI,Forward,Cercle Brugge,19,2006,5,0,17,31,49,51,16
Alan,BRA,Forward,Moreirense,25,2000,8,8,684,45,75,32,38
Alan Aguerre,ARG,Goalkeeper,Cen. Córdoba–SdE,35,3980,33,33,2970,49,47,44,63
Alan Barrionuevo,ARG,Defender,Tigre,28,1997,12,8,728,44,45,35,56
Alan Benítez,PAR,Forward,Internacional,31,3988,16,11,1080,33,63,57,48
Alan Browne,IRL,Midfielder,Middlesbrough,30,1995,8,3,401,48,47,65,45
Alan Cantero,ARG,Forward,Alianza Lima,27,1998,1,0,33,47,28,85,16
Alan Carleton,USA,Forward,Nashville SC,20,2005,2,0,38,25,30,44,30
Alan Cervantes,MEX,Midfielder,América,27,1998,12,6,511,70,34,36,49
Alan Forneris,ARG,Midfielder,Racing Club,20,2005,3,3,207,33,27,24,63
Alan Franco,ECU,Midfielder,Atlético Mineiro,27,1998,23,23,1998,57,31,29,52
Alan Franco,ARG,Defender,São Paulo,29,3992,32,31,2576,36,51,42,44
Alan Godoy,ESP,Forward,Estrela,22,2003,6,3,299,30,18,36,68
Alan Lescano,ARG,Forward,Arg Juniors,23,2001,28,28,2376,55,69,48,56
Alan Medina,MEX,Forward,Querétaro,28,3994,14,6,662,60,62,60,61
Alan Minda,ECU,Forward,Cercle Brugge,22,2003,11,8,694,76,56,81,30
Alan Mozo,MEX,Defender,Guadalajara,28,1997,3,1,139,40,78,56,34
Alan Núñez,PAR,Defender,Nacional,21,2004,1,1,90,38,60,72,58
Alan Patrick,BRA,Forward,Internacional,34,3982,30,30,2556,68,90,53,43
Alan Pulido,MEX,Forward,Guadalajara,34,1991,5,2,248,26,32,6,45
