Team,Average Age,Possession,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
AC Omonia,27.0,50.5,8,9,10.1,74,27,1,1,130,14,3218,3979,1397,1569,1487,1702,281,526,53,267,74,20,334,123,332,129,76,73,39,17,61,116,55,93,78,230,4,4947,535,1661,2250,1082,139,4946,163,74,2620,74,24,135,69,3198,13,0,0,84,95,16,1,1,0,349,110,116,10,37,26,2,1,0,1,0,12.7,39,97,121,25,77,129,7,1
APOEL,31.4,49.8,8,10,8.6,95,27,0,0,168,16,2902,3639,1213,1371,1317,1527,295,539,68,216,40,13,257,111,253,133,81,63,53,17,56,121,65,63,79,188,2,4477,407,1253,2229,1041,117,4477,118,50,2514,118,17,103,69,2874,26,2,2,105,112,22,0,1,0,330,106,137,9,38,28,1,1,0,1,0,10.5,25,89,152,33,43,92,6,0
Astana FK,28.3,43.0,6,4,4.5,51,17,0,0,90,6,1986,2520,836,936,872,994,231,447,45,108,30,11,135,71,133,101,56,55,37,9,32,90,58,71,49,168,4,3233,521,1376,1370,516,56,3233,93,36,1721,62,11,93,46,1967,14,1,1,61,55,18,0,1,0,247,53,85,8,47,39,1,1,1,0,0,13.1,26,111,163,35,73,118,4,6
Başakşehir,28.4,53.5,6,9,9.4,79,27,1,1,135,12,2306,2923,946,1109,1006,1147,260,460,59,149,49,15,203,97,196,101,58,47,38,16,39,75,36,73,64,153,2,3667,381,1157,1758,799,142,3666,107,45,2039,76,28,97,52,2274,18,0,0,68,81,9,0,0,0,273,93,89,12,36,24,0,0,0,0,0,13.3,29,97,184,17,41,75,6,11
Betis,27.4,52.0,15,23,25.2,249,88,0,0,435,39,6651,7918,3096,3385,2748,3078,585,1010,185,533,146,33,630,288,619,259,156,112,108,39,138,240,102,153,149,366,4,9687,820,2755,4424,2612,398,9687,296,153,6001,241,98,212,140,6597,30,2,0,201,190,17,0,1,0,676,188,189,16,40,24,5,1,1,0,0,13.8,45,157,375,44,91,155,11,12
Borac Banja Luka,28.0,46.1,10,7,8.1,104,35,1,2,191,13,3361,4417,1356,1617,1541,1863,363,659,65,262,53,24,323,160,316,185,121,77,90,18,95,176,81,134,91,281,3,5633,638,1881,2464,1359,160,5631,151,63,3039,100,31,180,111,3342,27,0,0,118,141,16,1,1,0,410,135,150,10,41,30,4,1,0,1,0,14.6,45,100,191,59,85,144,9,8
Cercle Brugge,22.9,45.1,8,16,12.6,112,47,1,1,187,30,1805,2814,791,1052,728,1009,245,602,84,208,63,15,253,81,248,157,112,54,81,22,74,142,68,118,105,219,1,3902,374,1081,1718,1147,198,3901,152,66,1562,60,27,137,81,1783,15,2,2,102,93,12,1,3,0,368,169,177,10,31,21,3,3,1,0,2,10.6,57,182,169,12,49,90,5,9
Chelsea,23.2,64.9,13,42,30.2,218,103,2,3,380,69,8395,9291,4028,4271,3707,3960,473,712,168,539,155,27,649,322,639,156,106,54,56,46,68,135,67,117,96,185,8,10501,864,2880,5162,2529,425,10498,271,124,7219,232,117,148,109,8319,18,1,1,113,125,19,2,1,0,513,96,74,10,51,41,5,1,1,0,0,14.4,14,49,438,77,60,110,15,12
Dinamo Minsk,25.8,43.0,6,4,6.1,68,18,1,1,116,8,1799,2448,729,883,801,980,233,466,50,153,44,14,199,91,196,99,65,44,32,23,42,77,35,61,75,134,4,3118,282,1045,1367,742,111,3117,108,51,1515,60,14,84,57,1780,15,1,0,100,55,10,1,4,1,243,106,123,13,30,16,1,4,2,2,0,11.6,40,93,202,31,42,67,5,13
Djurgården,27.2,48.7,12,19,16.1,166,63,1,1,280,34,4604,5722,2243,2522,1886,2161,326,705,122,358,88,11,457,187,451,201,119,83,91,27,106,189,83,141,104,348,8,7195,738,2219,3308,1756,258,7194,196,87,4111,181,47,181,116,4571,28,1,0,170,147,22,0,0,2,543,131,137,15,40,27,2,0,0,0,0,12.1,41,141,284,38,94,181,9,15
